publisher_id,author_id,category_id,description_embedding_0,description_embedding_1,description_embedding_2,description_embedding_3,description_embedding_4,description_embedding_5,description_embedding_6,description_embedding_7,description_embedding_8,description_embedding_9,description_embedding_10,description_embedding_11,description_embedding_12,description_embedding_13,description_embedding_14,description_embedding_15,title_embedding_0,title_embedding_1,title_embedding_2,title_embedding_3
1421,1090,629,1.1415699,-0.40253878,0.23660183,0.03032276,0.06302738,0.052330256,0.06602931,0.049256355,0.18293145,0.025813103,0.053600073,0.08901906,0.017560482,0.09723512,0.17375386,-0.005208343,0.019209385,0.43162572,-0.50967216,-0.034312963
542,4770,562,0.58086634,-0.48553264,-0.3349018,0.010270774,-0.06170702,-0.009287596,-0.059402227,-0.0105308,-0.09759691,-0.041432858,0.06660724,-0.18395439,0.072720766,-0.05574193,-0.0303936,-0.038828343,0.6979675,-0.2431432,-0.36074793,0.02387166
1129,1572,143,-0.7231307,-0.1476028,-0.43471766,0.5374614,-0.24244237,-0.36445642,0.0807749,-0.05219242,0.16783795,-0.1289196,-0.07829642,-0.105956435,-0.039399147,-0.051557966,0.08419007,0.056530744,0.16536808,0.5336175,-0.1532427,-0.25741744
711,4934,408,1.1928947,-0.48254275,0.1314106,0.03204295,-0.004479408,0.21463704,0.0616045,0.15932563,0.38061634,0.056722164,0.1069808,0.061665177,-0.060207486,0.022103064,-0.04152274,0.0759221,1.219255,0.4235177,0.55607677,-0.85349107
601,1434,453,1.371665,-0.41902375,0.588429,0.09669903,0.25002337,-0.24528122,-0.14799029,-0.026489645,0.000340611,0.073982954,-0.026176214,0.114132166,0.063054204,0.105327964,0.084723234,0.037089318,1.8297896,-0.39256322,-0.007715464,0.38886237
542,4630,408,1.2925215,-0.401695,0.49885702,0.08755234,0.15832257,-0.018529177,-0.025141478,-0.009801656,0.16026768,0.035356283,0.32859993,0.22419721,0.015045285,0.048782125,0.09244424,0.2756734,-1.0016267,-0.19220662,0.6640576,0.20257664
170,300,143,0.42054033,0.9372432,-0.001978397,-0.5909395,-0.48171687,-0.20413685,0.101344764,-0.041183382,-0.26728866,-0.09095359,0.00842166,0.002004087,-0.053246856,0.039864272,0.019826055,0.06953356,-0.86341953,-0.05700934,0.5074228,0.5409448
1421,881,629,-1.8407457,-0.30723596,0.21409082,-0.10798964,0.05589509,0.043212652,0.010360599,-0.006113917,-0.005695909,0.005845547,-0.001997709,0.002531588,0.006162047,-0.005367056,0.002058625,-0.000594944,-1.250216,-0.30123246,0.60026836,0.10052371
1421,5322,136,-1.8407457,-0.30723596,0.21409082,-0.10798964,0.05589509,0.043212652,0.010360599,-0.006113917,-0.005695909,0.005845547,-0.001997709,0.002531588,0.006162047,-0.005367056,0.002058625,-0.000594944,1.7163773,-0.1377505,0.16822028,0.09837866
468,1796,629,1.0150356,-0.39858007,0.07603359,0.080067605,0.041255236,-0.009693861,0.22716326,0.06790453,0.047878683,0.024261236,0.11936855,-0.0990271,0.15997398,-0.023018785,0.14547753,-0.06455138,0.8370638,0.84248465,-0.07247716,-0.33010292
549,51,629,0.14711142,0.14802217,-0.46775293,-0.42833808,-0.30552197,-0.3454075,-0.042559683,-0.1769006,-0.29572514,-0.13195205,0.086934805,0.013539135,-0.100400925,-0.13727018,-0.044213653,-0.25284848,-1.0954857,-0.3038622,0.48964942,0.21663213
